drug rxcui code,class code,drug,class
1010755,3992,Epinephrine,Alpha- and beta-adrenoreceptor agonists
1010755,3992,Epinephrine,Sympathomimetics in glaucoma therapy
1010755,3992,Epinephrine,"Anesthetics, Local"
1010755,3992,Epinephrine,Anti-Arrhythmia Agents
1010755,3992,Epinephrine,Voltage-Gated Sodium Channel Blockers
1010755,3992,Epinephrine,"Antiarrhythmics, class Ib"
1010755,3992,Epinephrine,Local anesthetics
1010755,3992,Epinephrine,Anesthetics for topical use
1010755,3992,Epinephrine,Amides
1010755,3992,Epinephrine,"Anesthetics, local"
1010755,3992,Epinephrine,Local anesthetics
1010755,3992,Epinephrine,Analgesics and anesthetics
1011703,6387,Lidocaine,"Anesthetics, Local"
1011703,6387,Lidocaine,Anti-Arrhythmia Agents
1011703,6387,Lidocaine,Voltage-Gated Sodium Channel Blockers
1011703,6387,Lidocaine,"Anesthetics, Local"
1011703,6387,Lidocaine,Anti-Arrhythmia Agents
1011703,6387,Lidocaine,Voltage-Gated Sodium Channel Blockers
1011703,6387,Lidocaine,"Antiarrhythmics, class Ib"
1011703,6387,Lidocaine,Local anesthetics
1011703,6387,Lidocaine,Anesthetics for topical use
1011703,6387,Lidocaine,Amides
1011703,6387,Lidocaine,"Anesthetics, local"
1011703,6387,Lidocaine,Local anesthetics
1011703,6387,Lidocaine,Analgesics and anesthetics
1011705,6387,Lidocaine,"Anesthetics, Local"
1011705,6387,Lidocaine,Anti-Arrhythmia Agents
1011705,6387,Lidocaine,Voltage-Gated Sodium Channel Blockers
1011705,6387,Lidocaine,"Antiarrhythmics, class Ib"
1011705,6387,Lidocaine,Local anesthetics
1011705,6387,Lidocaine,Anesthetics for topical use
1011705,6387,Lidocaine,Amides
1011705,6387,Lidocaine,"Anesthetics, local"
1011705,6387,Lidocaine,Local anesthetics
1011705,6387,Lidocaine,Analgesics and anesthetics
1011852,6387,Lidocaine,"Anesthetics, Local"
1011852,6387,Lidocaine,Anti-Arrhythmia Agents
1011852,6387,Lidocaine,Voltage-Gated Sodium Channel Blockers
1011852,6387,Lidocaine,"Anesthetics, Local"
1011852,6387,Lidocaine,Anti-Arrhythmia Agents
1011852,6387,Lidocaine,Voltage-Gated Sodium Channel Blockers
1011852,6387,Lidocaine,"Antiarrhythmics, class Ib"
1011852,6387,Lidocaine,Local anesthetics
1011852,6387,Lidocaine,Anesthetics for topical use
1011852,6387,Lidocaine,Amides
1011852,6387,Lidocaine,"Anesthetics, local"
1011852,6387,Lidocaine,Local anesthetics
1011852,6387,Lidocaine,Analgesics and anesthetics
1014314,10759,Triamcinolone,Anti-Inflammatory Agents
1014314,10759,Triamcinolone,Glucocorticoids
1014314,10759,Triamcinolone,Corticosteroids for local oral treatment
1014314,10759,Triamcinolone,Corticosteroids
1014314,10759,Triamcinolone,"Corticosteroids, moderately potent (group II)"
1014314,10759,Triamcinolone,"Corticosteroids, moderately potent, other combinations"
1014314,10759,Triamcinolone,Glucocorticoids
1014314,10759,Triamcinolone,Corticosteroids
1014314,10759,Triamcinolone,Glucocorticoids
1014314,10759,Triamcinolone,"Corticosteroids, plain"
1014314,10759,Triamcinolone,Anti-Inflammatory Agents
1014314,10759,Triamcinolone,Glucocorticoids
1014314,10759,Triamcinolone,Immunosuppressive Agents
1020477,3498,Diphenhydramine,"Sleep Aids, Pharmaceutical"
1020477,3498,Diphenhydramine,"Anesthetics, Local"
1020477,3498,Diphenhydramine,Antiemetics
1020477,3498,Diphenhydramine,Histamine H1 Antagonists
1020477,3498,Diphenhydramine,Hypnotics and Sedatives
1020477,3498,Diphenhydramine,Anti-Allergic Agents
1020477,3498,Diphenhydramine,"Sleep Aids, Pharmaceutical"
1020477,3498,Diphenhydramine,"Anesthetics, Local"
1020477,3498,Diphenhydramine,Antiemetics
1020477,3498,Diphenhydramine,Histamine H1 Antagonists
1020477,3498,Diphenhydramine,Hypnotics and Sedatives
1020477,3498,Diphenhydramine,Anti-Allergic Agents
1020477,3498,Diphenhydramine,Antihistamines for topical use
1020477,3498,Diphenhydramine,Aminoalkyl ethers
104095,4278,Famotidine,Anti-Ulcer Agents
104095,4278,Famotidine,Histamine H2 Antagonists
104095,4278,Famotidine,H2-receptor antagonists
104369,49276,Doxazosin,Antihypertensive Agents
104369,49276,Doxazosin,Adrenergic alpha-1 Receptor Antagonists
104369,49276,Doxazosin,Alpha-adrenoreceptor antagonists
104378,29046,Lisinopril,Angiotensin-Converting Enzyme Inhibitors
104378,29046,Lisinopril,Antihypertensive Agents
104378,29046,Lisinopril,Cardiotonic Agents
104378,29046,Lisinopril,"ACE inhibitors, plain"
104490,36567,Simvastatin,Anticholesteremic Agents
104490,36567,Simvastatin,Hypolipidemic Agents
104490,36567,Simvastatin,Hydroxymethylglutaryl-CoA Reductase Inhibitors
104490,36567,Simvastatin,HMG CoA reductase inhibitors
104491,36567,Simvastatin,Anticholesteremic Agents
104491,36567,Simvastatin,Hypolipidemic Agents
104491,36567,Simvastatin,Hydroxymethylglutaryl-CoA Reductase Inhibitors
104491,36567,Simvastatin,HMG CoA reductase inhibitors
104895,26225,Ondansetron,Antiemetics
104895,26225,Ondansetron,Antipruritics
104895,26225,Ondansetron,Serotonin Antagonists
104895,26225,Ondansetron,Antipsychotic Agents
104895,26225,Ondansetron,Anti-Anxiety Agents
104895,26225,Ondansetron,Serotonin (5HT3) antagonists
104896,26225,Ondansetron,Antiemetics
104896,26225,Ondansetron,Antipruritics
104896,26225,Ondansetron,Serotonin Antagonists
104896,26225,Ondansetron,Antipsychotic Agents
104896,26225,Ondansetron,Anti-Anxiety Agents
104896,26225,Ondansetron,Serotonin (5HT3) antagonists
104897,26225,Ondansetron,Antiemetics
104897,26225,Ondansetron,Antipruritics
104897,26225,Ondansetron,Serotonin Antagonists
104897,26225,Ondansetron,Antipsychotic Agents
104897,26225,Ondansetron,Anti-Anxiety Agents
104897,26225,Ondansetron,Serotonin (5HT3) antagonists
1049214,161,Acetaminophen,"Analgesics, Non-Narcotic"
1049214,161,Acetaminophen,Antipyretics
1049214,161,Acetaminophen,Anilides
1049214,161,Acetaminophen,"Analgesics, Opioid"
1049214,161,Acetaminophen,Narcotics
1049214,161,Acetaminophen,Natural opium alkaloids
1049214,161,Acetaminophen,"Analgesics, Opioid"
1049214,161,Acetaminophen,Narcotics
1049221,161,Acetaminophen,"Analgesics, Non-Narcotic"
1049221,161,Acetaminophen,Antipyretics
1049221,161,Acetaminophen,Anilides
1049221,161,Acetaminophen,"Analgesics, Opioid"
1049221,161,Acetaminophen,Narcotics
1049221,161,Acetaminophen,Natural opium alkaloids
1049221,161,Acetaminophen,"Analgesics, Opioid"
1049221,161,Acetaminophen,Narcotics
1049225,161,Acetaminophen,"Analgesics, Non-Narcotic"
1049225,161,Acetaminophen,Antipyretics
1049225,161,Acetaminophen,Anilides
1049225,161,Acetaminophen,"Analgesics, Opioid"
1049225,161,Acetaminophen,Narcotics
1049225,161,Acetaminophen,Natural opium alkaloids
1049225,161,Acetaminophen,"Analgesics, Opioid"
1049225,161,Acetaminophen,Narcotics
1049613,7804,Oxycodone,"Analgesics, Opioid"
1049613,7804,Oxycodone,Narcotics
1049613,7804,Oxycodone,Natural opium alkaloids
1049613,7804,Oxycodone,"Analgesics, Opioid"
1049613,7804,Oxycodone,Narcotics
1049621,7804,Oxycodone,"Analgesics, Opioid"
1049621,7804,Oxycodone,Narcotics
1049621,7804,Oxycodone,Natural opium alkaloids
1049621,7804,Oxycodone,"Analgesics, Opioid"
1049621,7804,Oxycodone,Narcotics
1049909,3498,Diphenhydramine,"Sleep Aids, Pharmaceutical"
1049909,3498,Diphenhydramine,"Anesthetics, Local"
1049909,3498,Diphenhydramine,Antiemetics
1049909,3498,Diphenhydramine,Histamine H1 Antagonists
1049909,3498,Diphenhydramine,Hypnotics and Sedatives
1049909,3498,Diphenhydramine,Anti-Allergic Agents
1049909,3498,Diphenhydramine,"Sleep Aids, Pharmaceutical"
1049909,3498,Diphenhydramine,"Anesthetics, Local"
1049909,3498,Diphenhydramine,Antiemetics
1049909,3498,Diphenhydramine,Histamine H1 Antagonists
1049909,3498,Diphenhydramine,Hypnotics and Sedatives
1049909,3498,Diphenhydramine,Anti-Allergic Agents
1049909,3498,Diphenhydramine,Antihistamines for topical use
1049909,3498,Diphenhydramine,Aminoalkyl ethers
105028,25480,gabapentin,Analgesics
105028,25480,gabapentin,Anticonvulsants
105028,25480,gabapentin,Anti-Anxiety Agents
105028,25480,gabapentin,Excitatory Amino Acid Antagonists
105028,25480,gabapentin,Antimanic Agents
105028,25480,gabapentin,Other antiepileptics
105029,25480,gabapentin,Analgesics
105029,25480,gabapentin,Anticonvulsants
105029,25480,gabapentin,Anti-Anxiety Agents
105029,25480,gabapentin,Excitatory Amino Acid Antagonists
105029,25480,gabapentin,Antimanic Agents
105029,25480,gabapentin,Other antiepileptics
105030,25480,gabapentin,Analgesics
105030,25480,gabapentin,Anticonvulsants
105030,25480,gabapentin,Anti-Anxiety Agents
105030,25480,gabapentin,Excitatory Amino Acid Antagonists
105030,25480,gabapentin,Antimanic Agents
105030,25480,gabapentin,Other antiepileptics
106101,7812,Oxymetazoline,Adrenergic alpha-Agonists
106101,7812,Oxymetazoline,Sympathomimetics
106101,7812,Oxymetazoline,Nasal Decongestants
106101,7812,Oxymetazoline,Adrenergic alpha-Agonists
106101,7812,Oxymetazoline,Sympathomimetics
106101,7812,Oxymetazoline,Nasal Decongestants
106101,7812,Oxymetazoline,"Sympathomimetics, plain"
106101,7812,Oxymetazoline,"Sympathomimetics, combinations excl. corticosteroids"
106101,7812,Oxymetazoline,Sympathomimetics used as decongestants
106346,42372,Mupirocin,Anti-Bacterial Agents
106346,42372,Mupirocin,Protein Synthesis Inhibitors
106346,42372,Mupirocin,Other antibiotics for topical use
106346,42372,Mupirocin,Other nasal preparations
107606,1815,Bupivacaine,"Anesthetics, Local"
107606,1815,Bupivacaine,Amides
107606,1815,Bupivacaine,"Anesthetics, Local"
107606,1815,Bupivacaine,Adrenergic alpha-Agonists
107606,1815,Bupivacaine,Adrenergic beta-Agonists
107606,1815,Bupivacaine,Bronchodilator Agents
107606,1815,Bupivacaine,Mydriatics
107606,1815,Bupivacaine,Sympathomimetics
107606,1815,Bupivacaine,Vasoconstrictor Agents
107606,1815,Bupivacaine,Other agents for local oral treatment
107606,1815,Bupivacaine,Local hemostatics
107606,1815,Bupivacaine,Adrenergic and dopaminergic agents
107606,1815,Bupivacaine,"Sympathomimetics, plain"
107606,1815,Bupivacaine,Alpha- and beta-adrenoreceptor agonists
107606,1815,Bupivacaine,Sympathomimetics in glaucoma therapy
10761,10759,Triamcinolone,Anti-Inflammatory Agents
10761,10759,Triamcinolone,Glucocorticoids
10761,10759,Triamcinolone,Corticosteroids for local oral treatment
10761,10759,Triamcinolone,Corticosteroids
10761,10759,Triamcinolone,"Corticosteroids, moderately potent (group II)"
10761,10759,Triamcinolone,"Corticosteroids, moderately potent, other combinations"
10761,10759,Triamcinolone,Glucocorticoids
10761,10759,Triamcinolone,Corticosteroids
10761,10759,Triamcinolone,Glucocorticoids
10761,10759,Triamcinolone,"Corticosteroids, plain"
10761,10759,Triamcinolone,Anti-Inflammatory Agents
10761,10759,Triamcinolone,Glucocorticoids
10761,10759,Triamcinolone,Immunosuppressive Agents
1085636,10759,Triamcinolone,Anti-Inflammatory Agents
1085636,10759,Triamcinolone,Glucocorticoids
1085636,10759,Triamcinolone,Corticosteroids for local oral treatment
1085636,10759,Triamcinolone,Corticosteroids
1085636,10759,Triamcinolone,"Corticosteroids, moderately potent (group II)"
1085636,10759,Triamcinolone,"Corticosteroids, moderately potent, other combinations"
1085636,10759,Triamcinolone,Glucocorticoids
1085636,10759,Triamcinolone,Corticosteroids
1085636,10759,Triamcinolone,Glucocorticoids
1085636,10759,Triamcinolone,"Corticosteroids, plain"
1085636,10759,Triamcinolone,Anti-Inflammatory Agents
1085636,10759,Triamcinolone,Glucocorticoids
1085636,10759,Triamcinolone,Immunosuppressive Agents
108780,73645,valacyclovir,Antiviral Agents
108780,73645,valacyclovir,Nucleosides and nucleotides excl. reverse transcriptase inhibitors
1091843,1091836,Roflumilast,Other systemic drugs for obstructive airway diseases
1094104,8120,Phenazopyridine,Other urologicals
1094107,8120,Phenazopyridine,Other urologicals
1100706,1100699,Linagliptin,Hypoglycemic Agents
1100706,1100699,Linagliptin,Incretins
1100706,1100699,Linagliptin,Dipeptidyl-Peptidase IV Inhibitors
1100706,1100699,Linagliptin,Dipeptidyl peptidase 4 (DPP-4) inhibitors
1114202,1114195,rivaroxaban,Factor Xa Inhibitors
1114202,1114195,rivaroxaban,Direct factor Xa inhibitors
1115005,82003,Docusate,"Softeners, emollients"
1115267,10582,levothyroxine,Thyroid hormones
1116639,1116632,Ticagrelor,Platelet Aggregation Inhibitors
1116639,1116632,Ticagrelor,Purinergic P2Y Receptor Antagonists
1116639,1116632,Ticagrelor,Platelet aggregation inhibitors excl. heparin
11415,2194,Cefuroxime,Anti-Bacterial Agents
11415,2194,Cefuroxime,Anti-Bacterial Agents
11415,2194,Cefuroxime,Second-generation cephalosporins
11415,2194,Cefuroxime,Antibiotics
114477,114477,Levetiracetam,Anticonvulsants
114477,114477,Levetiracetam,Nootropic Agents
114477,114477,Levetiracetam,Other antiepileptics
1149617,58939,COLLAGENASE,Proteolytic enzymes
1149663,8611,Povidone-Iodine,"Anti-Infective Agents, Local"
1149663,8611,Povidone-Iodine,Iodine products
1149663,8611,Povidone-Iodine,Medicated dressings with antiinfectives
1149663,8611,Povidone-Iodine,Medicated shampoos
1149663,8611,Povidone-Iodine,Other antiinfectives and antiseptics
1149663,8611,Povidone-Iodine,Antiseptics
1149663,8611,Povidone-Iodine,Other antiinfectives
1190572,1223,Atropine,"Adjuvants, Anesthesia"
1190572,1223,Atropine,Anti-Arrhythmia Agents
1190572,1223,Atropine,Bronchodilator Agents
1190572,1223,Atropine,Mydriatics
1190572,1223,Atropine,Parasympatholytics
1190572,1223,Atropine,Muscarinic Antagonists
1190572,1223,Atropine,"Belladonna alkaloids, tertiary amines"
1190572,1223,Atropine,Anticholinergics
1190572,1223,Atropine,"Adjuvants, Anesthesia"
1190572,1223,Atropine,Anti-Arrhythmia Agents
1190572,1223,Atropine,Bronchodilator Agents
1190572,1223,Atropine,Mydriatics
1190572,1223,Atropine,Parasympatholytics
1190572,1223,Atropine,Muscarinic Antagonists
1190572,1223,Atropine,"Analgesics, Opioid"
1190572,1223,Atropine,Antidiarrheals
1190572,1223,Atropine,Antipropulsives
1190572,1223,Atropine,"Analgesics, Opioid"
1190572,1223,Atropine,Antidiarrheals
1191222,7242,Naloxone,Narcotic Antagonists
1191222,7242,Naloxone,Narcotic Antagonists
1191222,7242,Naloxone,Peripheral opioid receptor antagonists
1191222,7242,Naloxone,Antidotes
1232084,1114195,rivaroxaban,Factor Xa Inhibitors
1232084,1114195,rivaroxaban,Direct factor Xa inhibitors
1232088,1114195,rivaroxaban,Factor Xa Inhibitors
1232088,1114195,rivaroxaban,Direct factor Xa inhibitors
1234579,8163,Phenylephrine,Cardiotonic Agents
1234579,8163,Phenylephrine,Mydriatics
1234579,8163,Phenylephrine,Sympathomimetics
1234579,8163,Phenylephrine,Vasoconstrictor Agents
1234579,8163,Phenylephrine,Nasal Decongestants
1234579,8163,Phenylephrine,Adrenergic alpha-1 Receptor Agonists
1234579,8163,Phenylephrine,Adrenergic and dopaminergic agents
1234579,8163,Phenylephrine,"Sympathomimetics, plain"
1234579,8163,Phenylephrine,"Sympathomimetics, combinations excl. corticosteroids"
1234579,8163,Phenylephrine,Sympathomimetics
1234579,8163,Phenylephrine,Sympathomimetics excl. antiglaucoma preparations
1234579,8163,Phenylephrine,Sympathomimetics used as decongestants
1234579,8163,Phenylephrine,Cardiotonic Agents
1234579,8163,Phenylephrine,Mydriatics
1234579,8163,Phenylephrine,Sympathomimetics
1234579,8163,Phenylephrine,Vasoconstrictor Agents
1234579,8163,Phenylephrine,Nasal Decongestants
1234579,8163,Phenylephrine,Adrenergic alpha-1 Receptor Agonists
1242503,6754,Meperidine,"Analgesics, Opioid"
1242503,6754,Meperidine,"Adjuvants, Anesthesia"
1242503,6754,Meperidine,Narcotics
1242503,6754,Meperidine,"Analgesics, Opioid"
1242503,6754,Meperidine,"Adjuvants, Anesthesia"
1242503,6754,Meperidine,Narcotics
1242503,6754,Meperidine,Phenylpiperidine derivatives
1246321,25255,formoterol,Bronchodilator Agents
1246321,25255,formoterol,Adrenergic beta-2 Receptor Agonists
1246321,25255,formoterol,Bronchodilator Agents
1246321,25255,formoterol,Adrenergic beta-2 Receptor Agonists
1246321,25255,formoterol,Selective beta-2-adrenoreceptor agonists
1251196,6218,Lactulose,Gastrointestinal Agents
1251196,6218,Lactulose,Osmotically acting laxatives
1298066,3001,Cyclopentolate,Mydriatics
1298066,3001,Cyclopentolate,Parasympatholytics
1298066,3001,Cyclopentolate,Muscarinic Antagonists
1298066,3001,Cyclopentolate,Anticholinergics
1300797,1300786,mirabegron,Adrenergic beta-3 Receptor Agonists
1300797,1300786,mirabegron,Urological Agents
1300797,1300786,mirabegron,Drugs for urinary frequency and incontinence
1304564,10454,Thiamine,Vitamin B Complex
1304564,10454,Thiamine,"Vitamin B1, plain"
1304564,10454,Thiamine,Antioxidants
1304564,10454,Thiamine,Vitamins
1304564,10454,Thiamine,Vitamins
1304564,10454,Thiamine,"Vitamin A, plain"
1304564,10454,Thiamine,Retinoids for topical use in acne
1304564,10454,Thiamine,Other nasal preparations
1304564,10454,Thiamine,Other ophthalmologicals
1304564,10454,Thiamine,Vitamin B Complex
1304564,10454,Thiamine,Vitamin B12 (cyanocobalamin and analogues)
1304564,10454,Thiamine,Antioxidants
1304564,10454,Thiamine,Vitamins
1304564,10454,Thiamine,"Ascorbic acid (vitamin C), plain"
1304564,10454,Thiamine,Organic acids
1304564,10454,Thiamine,Other ophthalmologicals
1304564,10454,Thiamine,Vitamin B Complex
1304564,10454,Thiamine,Other plain vitamin preparations
1304564,10454,Thiamine,Vitamin B Complex
1304564,10454,Thiamine,Other plain vitamin preparations
1304564,10454,Thiamine,Other cicatrizants
1304564,10454,Thiamine,Other ophthalmologicals
1304564,10454,Thiamine,Antioxidants
1304564,10454,Thiamine,Vitamins
1304564,10454,Thiamine,Calcium-Regulating Hormones and Agents
1304564,10454,Thiamine,Vitamins
1304564,10454,Thiamine,Bone Density Conservation Agents
1304564,10454,Thiamine,Vitamin D and analogues
1304564,10454,Thiamine,Antioxidants
1304564,10454,Thiamine,Anticarcinogenic Agents
1304564,10454,Thiamine,Hematinics
1304564,10454,Thiamine,Vitamin B Complex
1304564,10454,Thiamine,Folic acid and derivatives
1304564,10454,Thiamine,Other diagnostic agents
1304564,10454,Thiamine,Vitamin B Complex
1304564,10454,Thiamine,Other plain vitamin preparations
1304564,10454,Thiamine,Vitamin B Complex
1304564,10454,Thiamine,Other plain vitamin preparations
1304564,10454,Thiamine,Antifibrinolytic Agents
1304564,10454,Thiamine,Vitamins
1304564,10454,Thiamine,Vitamin K
1304564,10454,Thiamine,Vitamin B Complex
1304564,10454,Thiamine,Photosensitizing Agents
1304564,10454,Thiamine,Other plain vitamin preparations
1304564,10454,Thiamine,Other ophthalmologicals
1361615,5224,heparin,Anticoagulants
1361615,5224,heparin,Fibrinolytic Agents
1361615,5224,heparin,Heparin group
1361615,5224,heparin,Heparins or heparinoids for topical use
1361615,5224,heparin,Other ophthalmologicals
1362,3498,Diphenhydramine,"Sleep Aids, Pharmaceutical"
1362,3498,Diphenhydramine,"Anesthetics, Local"
1362,3498,Diphenhydramine,Antiemetics
1362,3498,Diphenhydramine,Histamine H1 Antagonists
1362,3498,Diphenhydramine,Hypnotics and Sedatives
1362,3498,Diphenhydramine,Anti-Allergic Agents
1362,3498,Diphenhydramine,"Sleep Aids, Pharmaceutical"
1362,3498,Diphenhydramine,"Anesthetics, Local"
1362,3498,Diphenhydramine,Antiemetics
1362,3498,Diphenhydramine,Histamine H1 Antagonists
1362,3498,Diphenhydramine,Hypnotics and Sedatives
1362,3498,Diphenhydramine,Anti-Allergic Agents
1362,3498,Diphenhydramine,Antihistamines for topical use
1362,3498,Diphenhydramine,Aminoalkyl ethers
1362831,5224,heparin,Anticoagulants
1362831,5224,heparin,Fibrinolytic Agents
1362831,5224,heparin,Heparin group
1362831,5224,heparin,Heparins or heparinoids for topical use
1362831,5224,heparin,Other ophthalmologicals
1364441,1364430,apixaban,Factor Xa Inhibitors
1364441,1364430,apixaban,Direct factor Xa inhibitors
1364447,1364430,apixaban,Factor Xa Inhibitors
1364447,1364430,apixaban,Direct factor Xa inhibitors
141927,596,Alprazolam,Hypnotics and Sedatives
141927,596,Alprazolam,Anti-Anxiety Agents
141927,596,Alprazolam,GABA Modulators
141927,596,Alprazolam,Benzodiazepine derivatives
141928,596,Alprazolam,Hypnotics and Sedatives
141928,596,Alprazolam,Anti-Anxiety Agents
141928,596,Alprazolam,GABA Modulators
141928,596,Alprazolam,Benzodiazepine derivatives
142153,435,Albuterol,Bronchodilator Agents
142153,435,Albuterol,Tocolytic Agents
142153,435,Albuterol,Adrenergic beta-2 Receptor Agonists
142153,435,Albuterol,Bronchodilator Agents
142153,435,Albuterol,Tocolytic Agents
142153,435,Albuterol,Adrenergic beta-2 Receptor Agonists
142153,435,Albuterol,Selective beta-2-adrenoreceptor agonists
142153,435,Albuterol,Selective beta-2-adrenoreceptor agonists
142440,6387,Lidocaine,"Anesthetics, Local"
142440,6387,Lidocaine,Anti-Arrhythmia Agents
142440,6387,Lidocaine,Voltage-Gated Sodium Channel Blockers
142440,6387,Lidocaine,"Anesthetics, Local"
142440,6387,Lidocaine,Anti-Arrhythmia Agents
142440,6387,Lidocaine,Voltage-Gated Sodium Channel Blockers
142440,6387,Lidocaine,"Antiarrhythmics, class Ib"
142440,6387,Lidocaine,Local anesthetics
142440,6387,Lidocaine,Anesthetics for topical use
142440,6387,Lidocaine,Amides
142440,6387,Lidocaine,"Anesthetics, local"
142440,6387,Lidocaine,Local anesthetics
142440,6387,Lidocaine,Analgesics and anesthetics
142445,8163,Phenylephrine,Antipruritics
142445,8163,Phenylephrine,Histamine H1 Antagonists
142445,8163,Phenylephrine,Anti-Allergic Agents
142445,8163,Phenylephrine,Antipruritics
142445,8163,Phenylephrine,Histamine H1 Antagonists
142445,8163,Phenylephrine,Anti-Allergic Agents
142445,8163,Phenylephrine,Antihistamines for topical use
142445,8163,Phenylephrine,Phenothiazine derivatives
1487520,1424884,vilanterol,Anticholinergics
1490057,3992,Epinephrine,Adrenergic alpha-Agonists
1490057,3992,Epinephrine,Adrenergic beta-Agonists
1490057,3992,Epinephrine,Bronchodilator Agents
1490057,3992,Epinephrine,Mydriatics
1490057,3992,Epinephrine,Sympathomimetics
1490057,3992,Epinephrine,Vasoconstrictor Agents
1490057,3992,Epinephrine,Other agents for local oral treatment
1490057,3992,Epinephrine,Local hemostatics
1490057,3992,Epinephrine,Adrenergic and dopaminergic agents
1490057,3992,Epinephrine,"Sympathomimetics, plain"
1490057,3992,Epinephrine,Alpha- and beta-adrenoreceptor agonists
1490057,3992,Epinephrine,Sympathomimetics in glaucoma therapy
151100,60207,dorzolamide,Antihypertensive Agents
151100,60207,dorzolamide,Carbonic Anhydrase Inhibitors
151100,60207,dorzolamide,Carbonic anhydrase inhibitors
152200,40048,Carboplatin,not-found
152697,41493,meloxicam,"Anti-Inflammatory Agents, Non-Steroidal"
152697,41493,meloxicam,Cyclooxygenase 2 Inhibitors
152697,41493,meloxicam,Oxicams
152698,41493,meloxicam,"Anti-Inflammatory Agents, Non-Steroidal"
152698,41493,meloxicam,Cyclooxygenase 2 Inhibitors
152698,41493,meloxicam,Oxicams
152923,36567,Simvastatin,Anticholesteremic Agents
152923,36567,Simvastatin,Hypolipidemic Agents
152923,36567,Simvastatin,Hydroxymethylglutaryl-CoA Reductase Inhibitors
152923,36567,Simvastatin,HMG CoA reductase inhibitors
152952,72302,ropinirole,Antiparkinson Agents
152952,72302,ropinirole,Dopamine Agonists
152952,72302,ropinirole,Dopamine agonists
152953,72302,ropinirole,Antiparkinson Agents
152953,72302,ropinirole,Dopamine Agonists
152953,72302,ropinirole,Dopamine agonists
153379,73032,remifentanil,"Analgesics, Opioid"
153379,73032,remifentanil,"Analgesics, Opioid"
153379,73032,remifentanil,Opioid anesthetics
153591,25789,glimepiride,Anti-Arrhythmia Agents
153591,25789,glimepiride,Hypoglycemic Agents
153591,25789,glimepiride,Immunosuppressive Agents
153591,25789,glimepiride,Sulfonylureas
153638,51272,quetiapine,Antidepressive Agents
153638,51272,quetiapine,Antipsychotic Agents
153638,51272,quetiapine,"Diazepines, oxazepines, thiazepines and oxepines"
153639,51272,quetiapine,Antidepressive Agents
